"","milestone","state","open issues","closed issues","created time","updated time","closed time","due time"
"40",1616657," closed",0,2," 2016-03-01T23:41:50Z"," 2016-03-02T02:35:44Z"," 2016-03-02T02:35:44Z"," None"
"41",1599004," closed",0,4," 2016-02-23T05:49:32Z"," 2016-02-29T17:37:00Z"," 2016-02-29T17:01:01Z"," None"
"42",1599014," closed",0,6," 2016-02-23T06:02:03Z"," 2016-03-01T05:10:27Z"," 2016-03-01T05:10:27Z"," None"
"43",1599072," closed",0,4," 2016-02-23T06:58:51Z"," 2016-03-01T05:10:29Z"," 2016-03-01T05:10:29Z"," None"
"44",1594872," open",0,3," 2016-02-20T17:02:02Z"," 2016-04-06T16:45:39Z"," None"," None"
"45",1573418," closed",0,0," 2016-02-09T21:09:45Z"," 2016-02-10T18:35:01Z"," 2016-02-10T18:35:01Z"," 2016-02-11T05:00:00Z"
"46",1586956," closed",0,1," 2016-02-16T21:26:02Z"," 2016-02-28T02:02:25Z"," 2016-02-28T02:02:25Z"," 2016-02-21T05:00:00Z"
"47",1586913," closed",0,1," 2016-02-16T21:16:32Z"," 2016-02-28T02:02:29Z"," 2016-02-28T02:02:29Z"," 2016-02-21T05:00:00Z"
"48",1586923," closed",0,1," 2016-02-16T21:21:29Z"," 2016-02-28T02:02:32Z"," 2016-02-28T02:02:32Z"," 2016-02-21T05:00:00Z"
"49",1586952," closed",0,0," 2016-02-16T21:23:28Z"," 2016-02-28T05:09:06Z"," 2016-02-28T05:09:06Z"," 2016-02-27T05:00:00Z"
"50",1586955," closed",0,9," 2016-02-16T21:24:51Z"," 2016-02-29T05:32:13Z"," 2016-02-29T05:32:13Z"," 2016-02-29T05:00:00Z"
"51",1573389," closed",0,7," 2016-02-09T20:59:05Z"," 2016-02-29T05:45:43Z"," 2016-02-29T05:45:43Z"," 2016-02-29T05:00:00Z"
"52",1586957," closed",0,7," 2016-02-16T21:26:43Z"," 2016-02-29T05:43:55Z"," 2016-02-29T05:43:55Z"," 2016-02-29T05:00:00Z"
"53",1573396," closed",0,4," 2016-02-09T21:04:29Z"," 2016-03-01T05:03:52Z"," 2016-03-01T05:03:52Z"," 2016-02-29T05:00:00Z"
"54",1573425," closed",0,21," 2016-02-09T21:15:08Z"," 2016-03-02T01:40:40Z"," 2016-02-29T13:23:27Z"," 2016-02-29T05:00:00Z"
"55",1616760," open",0,4," 2016-03-02T01:12:30Z"," 2016-04-06T23:17:57Z"," None"," 2016-03-31T04:00:00Z"
"56",1616768," open",1,2," 2016-03-02T01:17:29Z"," 2016-04-06T22:26:22Z"," None"," 2016-03-31T04:00:00Z"
"57",1616776," open",1,2," 2016-03-02T01:20:46Z"," 2016-04-06T22:51:14Z"," None"," 2016-03-31T04:00:00Z"
"58",1616779," open",3,1," 2016-03-02T01:22:46Z"," 2016-04-06T23:17:28Z"," None"," 2016-03-31T04:00:00Z"
